lon.81,102.0359722,lat.81,13.79038889,stn.81,Sa Kaeo hydro
lon.82,102.5076389,lat.82,13.68733333,stn.82,Aranyaprathet
lon.83,101.4578333,lat.83,13.56580556,stn.83,Chachoengsao agr
lon.84,100.9833333,lat.84,13.36666667,stn.84,Chon Buri
lon.85,100.9856677,lat.85,13.35391667,stn.85,Laem Chabang
lon.86,100.8061389,lat.86,13.16108333,stn.86,Ko Sichang
lon.87,100.8694444,lat.87,12.92,stn.87,Pattaya
lon.88,101.4356666,lat.88,12.62351111,stn.88,Sattahip
lon.89,101.3458333,lat.89,12.63472222,stn.89,Rayong
lon.90,101.1333333,lat.90,12.73333333,stn.90,Huai Pong agr
lon.91,102.1074444,lat.91,12.60813889,stn.91,Chanthaburi
lon.92,102.1731667,lat.92,12.50863889,stn.92,Pluei agr
lon.93,102.8818,lat.93,11.77830556,stn.93,Khlong Yai
lon.94,100.0666667,lat.94,13.15,stn.94,Phetcha Buri
lon.95,99.73333333,lat.95,12.58333333,stn.95,Nongplub agr
lon.96,99.96,lat.96,12.58611111,stn.96,Hua hin
lon.97,98.83333333,lat.97,11.83333333,stn.97,Prachuap Khirikhan
lon.98,99.18333333,lat.98,10.48333333,stn.98,Chumphon
lon.99,99.1,lat.99,10.33333333,stn.99,Sawee agr
lon.100,99.1519444,lat.100,9.13555555,stn.100,Surat Thani
lon.101,99.6630556,lat.101,9.13888889,stn.101,Surat Thani agr
lon.102,100.05,lat.102,9.46666667,stn.102,Ko Samui
lon.103,99.255,lat.103,8.56583333,stn.103,Phra saeng hydro
lon.104,99.5119444,lat.104,8.43194444,stn.104,Chawang hydro
lon.105,99.9666667,lat.105,8.41666667,stn.105,Nakhon Si Thammarat
lon.106,99.8611111,lat.106,9.23916667,stn.106,Nakhon Si Thammarat agr
lon.107,100.166667,lat.107,7.58333333,stn.107,Phatthalung agr
lon.108,100.604722,lat.108,7.20388889,stn.108,Songkhla
lon.109,100.433333,lat.109,6.91666667,stn.109,Hat Yai
lon.110,100.5,lat.110,7.01666667,stn.110,Kho Hong agr
lon.111,100.394167,lat.111,6.79666666,stn.111,Sadao hydro
lon.112,101.15,lat.112,6.78333333,stn.112,Pattani
lon.113,100.345122,lat.113,6.43566666,stn.113,Yala agr
lon.114,101.81667,lat.114,6.4166667,stn.114,Narathiwat
lon.115,98.616667,lat.115,9.9833333,stn.115,Ranong
lon.116,98.252222,lat.116,8.6841667,stn.116,Takau PA
lon.117,98.4,lat.117,7.8833333,stn.117,Phuket
lon.118,98.314444,lat.118,8.1166667,stn.118,Phuket Airport
lon.119,98.616667,lat.119,7.5166667,stn.119,Krabi
lon.120,99.05,lat.120,7.5333333,stn.120,Ko Lanta
lon.121,99.616667,lat.121,7.5166667,stn.121,Trang
lon.122,100.08333,lat.122,6.65,stn.122,Satun
